_id,id,device_id,record_oid,count_start_date,count_end_date,average_daily_car_traffic,average_daily_bike_traffic,counter_number,counter_type,speed_limit,max_speed,median_speed,percent_over_limit,speed85_percent,speed95_percent,longitude,latitude,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone
174,742086325,86,1760887247,4/18/2019,4/26/2019,5663,,1,StatTrak,25,,24,36,28,31,-79.96410968,40.45818056,Polish Hill,7,6,42003060500,6,6,2,6-Feb
175,743292552,64,500747930,2/5/2019,2/14/2019,,,,StatTrak,,,,,,,-79.9827432,40.43616593,Bluff,6,1,42003010300,3,1,2,1-Feb
176,743497140,93,943727004,5/16/2019,5/28/2019,,,2,StatTrak,,,,,,,-79.99008016,40.38958486,Carrick,4,29,42003290400,3,29,3,23-Apr
177,772514898,186,999716292,8/30/2019,9/9/2019,4254,,4,StatTrak,25,,30,83,35,38,-79.93040579,40.4717683,East Liberty,9,11,42003111300,2,11,5,8-Mar
178,802597781,158,,,,,,,,,,,,,,-79.928802,40.46659201,East Liberty,9,11,42003111500,2,11,5,8-Mar
179,833145460,58,486368234,5/1/2019,5/8/2019,6747,,,StatTrak,25,,27,64,32,36,-79.91261299,40.45995942,Larimer,9,12,42003120800,2,12,5,10-Mar
180,836677742,91,1836746369,12/4/2018,12/7/2018,927,,,StatTrak,25,,19.3,0,19.5,19.8,-79.9581303,40.45578027,Upper Hill,6,5,42003050600,3,5,2,22-Feb
181,845176518,191,1670061854,10/14/2019,10/21/2019,1107,,11,StatTrak,25,,23,33,23,32,-79.89650287,40.44068644,Point Breeze,9,14,42003140600,3,14,4,14-Mar
182,845300324,63,1060785814,2/5/2019,2/14/2019,2547,,2,StatTrak,25,,20,12,25,28,-79.98436862,40.4361006,Bluff,6,1,42003010300,3,1,2,4-Feb
183,856876185,77,675961298,3/22/2019,3/31/2019,23,,3,StatTrak,25,,14,0,17,,-80.01294617,40.45661205,Central Northside,1,22,42003220600,1,22,1,21-Jan
184,857278686,27,1738651448,11/20/2018,11/29/2018,2475,,,StatTrak,25,59,24,40,29,32,-79.92530461,40.48692397,Morningside,7,10,42003101400,2,10,5,7-Mar
185,881392986,107,757964277,6/13/2019,6/20/2019,1231,,,StatTrak,25,,21,10,25,,-79.92819115,40.48115579,Morningside,7,10,42003101400,2,10,5,7-Mar
186,886617272,29,810841420,,,,,,StatTrak,,,,,,,-80.03777271,40.43797182,Elliott,2,20,42003562600,5,20,6,17-Jan
187,888525454,201,600630272,11/4/2019,11/13/2019,,,6,StatTrak,25,,21,17,26,29,-79.92717887,40.45150195,Shadyside,8,7,42003070600,2,7,4,11-Mar
188,906694669,210,1566003055,6/11/2019,6/11/2019,,892,Tuesday SPC Video count,,,,,,,,-79.96306663,40.42832794,South Side Flats,3,16,42003160900,3,16,3,24-Apr
189,919072428,136,2104195251,10/8/2019,10/15/2019,7700,,6,StatTrak,25,,32,81,37,40,-79.91802458,40.46058382,East Liberty,9,12,42003111500,2,12,5,10-Mar
190,92152273,193,267047974,12/12/2019,12/24/2019,5262,,1,StatTrak,25,,25,49,30,35,-79.91045413,40.43763509,Squirrel Hill South,5,14,42003980300,3,14,4,21-Feb
191,938626817,172,1989358980,8/1/2019,8/9/2019,,,6,StatTrak,,,,,,,-79.99064237,40.3864772,Carrick,4,29,42003290400,3,29,3,23-Apr
192,945509221,53,1316151566,1/14/2019,1/22/2019,5850,,12,StatTrak,25,,22,21,27,31,-79.96265897,40.47074741,Central Lawrenceville,7,9,42003090100,2,9,2,3-Mar
193,947828592,66,1764794992,2/5/2019,2/14/2019,,,,StatTrak,,,,,,,-79.98160863,40.43614347,Bluff,6,1,42003010300,3,1,2,1-Feb
194,956529597,153,2008214585,6/27/2018,,,,,Intersection Study,,,,,,,-79.98406358,40.45235838,Strip District,7,2,42003020300,6,2,2,3-Feb
195,963269671,142,,,,,,,,,,,,,,-79.90429,40.41988,Swisshelm Park,5,14,42003141100,3,14,4,19-Feb
196,969791742,203,21253671,11/4/2019,11/13/2019,766,,1,StatTrak,25,,20,11,24,28,-79.93247992,40.45062189,Shadyside,8,7,42003070300,2,7,4,22-Mar
197,977387533,96,1988657290,5/16/2019,5/28/2019,,,4,StatTrak,25,,,,,,-80.00567637,40.38843812,Brookline,4,32,42003320600,5,32,6,25-Apr
198,979579410,54,732845995,1/14/2019,1/22/2019,573,,13,StatTrak,25,,18,4,22,25,-79.96410468,40.47152482,Central Lawrenceville,7,9,42003090100,2,9,2,3-Mar
199,980353019,219,685222674,11/22/2019,12/4/2019,2150,,5,StatTrak,25,,28,73,34,49,-79.93528241,40.47356601,Stanton Heights,9,10,42003100500,2,10,5,7-Mar
200,983997146,113,1721221853,6/28/2019,7/5/2019,15000,,13,StatTrak,35,,29,,35,39,-79.94134444,40.45609443,Bloomfield,7,8,42003080400,2,8,5,1-Mar
201,990099842,88,,,,,,,,,,,,,,-79.99912584,40.43778315,Central Business District,6,1,42003020100,6,1,2,4-Jan
202,992607449,157,,,,,,,,,,,,,,-79.9315695,40.45833,East Liberty,7,8,42003111500,2,8,5,11-Mar
203,995190042,205,112841430,11/14/2019,11/22/2019,1316,,5,StatTrak,25,,25,50,30,32,-79.92986334,40.43559683,Squirrel Hill South,5,14,42003141300,3,14,4,21-Feb
204,1390951989,223,34971343,12/30/2019,1/14/2020,450,,3,StatTrak,25,,20,11,24,28,-80.02596555,40.45295851,Manchester,6,21,42003210700,1,21,1,8-Jan
205,1787114552,226,898910124,12/30/2019,1/14/2020,877,,1,StatTrak,25,,23,29,28,32,-80.00902355,40.45646362,Central Northside,1,22,42003220600,1,22,1,21-Jan
206,2137013195,221,2090543825,12/30/2019,1/14/2020,477,,2,StatTrak,25,,20,11,24,28,-80.01681888,40.45270551,Allegheny West,1,22,42003562700,1,22,1,7-Jan
207,45033818,224,632421281,12/30/2019,1/14/2020,384,,6,StatTrak,25,,21,17,26,32,-80.02443778,40.45322719,Manchester,6,21,42003210700,1,21,1,8-Jan
208,619209258,225,1008926761,12/30/2019,1/14/2020,1043,,5,StatTrak,25,,24,34,28,32,-80.02830301,40.47246526,Marshall-Shadeland,1,27,42003271500,1,27,1,14-Jan
209,631180472,222,289077370,12/30/2019,1/14/2020,1105,,4,StatTrak,25,,21,21,27,33,-80.02041849,40.45511379,Manchester,6,21,42003210700,1,21,1,8-Jan
232,276865270,227,2030304291,1/23/2020,1/31/2020,334,,6,StatTrak,25,,21,20,27,31,-79.9664035,40.46525641,Lower Lawrenceville,7,6,42003060300,2,6,2,3-Mar
233,1533656734,228,228469783,1/23/2020,1/31/2020,3138,,1,StatTrak,25,,28,65,33,37,-79.96724479,40.46516856,Lower Lawrenceville,7,6,42003060300,2,6,2,3-Mar
234,2099401196,229,1991979153,1/23/2020,1/31/2020,5921,,3,StatTrak,25,,25,44,30,37,-79.97151973,40.46098888,Strip District,7,6,42003020300,6,6,2,2-Mar
